,Latitude,Longitude,City,Country Code,Temperature,Humidity,Cloudiness,Wind Speed
0,8.124726320299771,-61.66744867202901,upata,ve,72.15,81,44,5.73
1,76.51869630663145,117.28592666882207,saskylakh,ru,12.66,79,0,15.46
2,26.69306997117586,-172.84925133304472,kapaa,us,75.18,88,90,14.99
3,3.0558058870651337,150.26896173606724,kavieng,pg,85.02,99,12,8.08
4,74.21414213266209,-35.56828542530667,tasiilaq,gl,19.4,79,75,5.82
5,-80.44234316168003,40.12494167582926,port alfred,za,73.41,86,68,9.31
6,-70.93965044280122,-174.78109369286813,vaini,to,78.8,88,20,9.17
7,66.86342558077916,-34.81390102685708,tasiilaq,gl,19.4,79,75,5.82
8,-6.519916303504573,-97.88263923791037,puerto ayora,ec,73.68,100,0,5.06
10,80.63427813629957,153.99939790722442,chokurdakh,ru,14.46,74,8,5.39
11,10.517472116743846,-150.37545667799955,hilo,us,77,83,90,3.36
12,79.6462259210277,-156.7052188871727,barrow,us,27.88,85,1,5.39
13,-7.5300925811668264,-40.78519675112952,simoes,br,67.02,94,88,5.84
14,-31.7381342479024,-179.3033658893765,vaini,to,78.8,88,20,9.17
15,79.90980053044225,163.37281231818974,cherskiy,ru,22.11,81,0,2.37
16,-62.96607523077502,164.2134901417432,bluff,nz,60.27,89,20,23.17
17,-38.60256886388807,-99.68010614476256,lebu,cl,55.95,99,48,12.55
19,-2.3495874109607087,145.51420425716577,lorengau,pg,83.85,95,0,10.31
20,40.86568703963482,126.73227573395843,linjiang,cn,34.44,93,92,3.49
21,15.189894652272812,-42.145075669451415,cayenne,gf,77,94,76,2.24
22,-14.60153200530344,126.51157936772864,kununurra,au,95,36,64,4.7
23,88.45164671798537,-104.25163760276314,yellowknife,ca,-4.01,76,75,6.93
24,-37.87893051447068,85.09383828769063,busselton,au,75.3,82,0,8.52
25,-74.68501753758657,-166.65471129856442,avarua,ck,75.2,94,90,11.41
26,49.49664929938615,-22.188667347229227,praia da vitoria,pt,50,81,40,35.14
27,18.701091314216796,-168.58513491354154,kapaa,us,75.18,88,90,14.99
28,-69.84556211641463,84.46924546775153,busselton,au,75.3,82,0,8.52
29,-86.3637522764303,33.075775934267455,port elizabeth,za,75.2,69,20,8.05
30,39.14739475947425,11.963879767096756,trapani,it,62.6,67,0,12.75
31,-81.67316582102048,-18.204693575228816,ushuaia,ar,41,86,75,27.51
33,88.23308714879681,-127.60187891227224,tuktoyaktuk,ca,-5.81,72,0,5.82
34,35.247225034831544,125.99370857575104,seoul,kr,47.12,87,90,6.93
35,-43.94941130067433,96.08344200510669,busselton,au,75.3,82,0,8.52
36,17.84125771485175,-59.21944175637411,saint-francois,gp,69.8,100,0,1.12
37,-34.84934689499967,156.1061990272426,nelson bay,au,71.6,78,0,9.17
38,-87.20637305390085,16.064491834493026,bredasdorp,za,73.4,64,48,3.36
39,10.134989714628432,-86.21604504744185,santa cruz,cr,74.67,76,0,2.37
42,-60.82026135467679,162.78102368706004,bluff,nz,60.27,89,20,23.17
43,-45.18180926668045,-34.88291135694382,cidreira,br,58.47,94,0,2.15
44,-45.0964640346367,-91.62662451652511,castro,cl,49.02,70,92,11.99
45,68.33261308088623,-65.3418133270581,pangnirtung,ca,8.16,81,68,5.95
46,19.655463636353872,116.6613915570884,jieshi,cn,76.47,80,76,5.61
48,56.65768266525441,63.05855952982114,pyshma,ru,34.35,100,92,5.39
51,-3.956976109732963,-76.62333869924194,barranca,pe,66.93,100,88,8.08
52,85.91845046899113,89.48168143771898,dikson,ru,-8.5,82,0,14.34
53,65.64507883231221,56.54786214089242,puteyets,ru,36.96,81,80,6.4
54,19.90146845701132,-76.289673107392,el cobre,cu,73.4,78,40,4.7
55,0.48269559626005787,-37.20433871212583,trairi,br,81.87,100,36,6.96
